Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~acap-safetyofficer.PrjPcb|ReportField=ProjectFullPath~C:\Users\Keshuai\Desktop\acap-safetyofficer\acap-safetyofficer.PrjPcb|ReportField=Title~Bill of Materials For Project [acap-safetyofficer.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~143|ReportField=ReportTime~1:56:46 AM|ReportField=ReportDate~12/13/2016|ReportField=ReportDateTime~12/13/2016 1:56:46 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/12/2016|ReportField=CurrentTime~1:16:49 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Keshuai\Desktop\acap-safetyofficer\teensy.SchDoc|ReportField=DocumentName~teensy.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12/12/2016|ReportField=Organization~|ReportField=ProjectName~acap-safetyofficer.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~acap-safetyofficer.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Keshuai\Desktop\acap-safetyofficer\acap-safetyofficer.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap_0603|Capacitor|C1, C2, C3, C4, C5, C6, C7, C8, C10, C11, C12, C13, C14, C15, C17, C18_U_servo1, C18_U_servo2, C18_U_servo3, C19_U_servo1, C19_U_servo2, C19_U_servo3, C24_U_servo1, C24_U_servo2, C24_U_servo3, C25_U_servo1, C25_U_servo2, C25_U_servo3, C26_U_servo1, C26_U_servo2, C26_U_servo3, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37|CAP_0603|Cap_0603|41
2|Cap_0805|Capacitor|C9, C16|CAP_0805|Cap_0805|2
3|47uF|SMT Polarised Capacitor|C22_U_servo1, C22_U_servo2, C22_U_servo3|CAP ALUM 6.6MM|Polarised Capacitor|3
4|3.3V|Zener Diode|D1_U_external_ps_en1, D1_U_external_ps_en2|SOD123F|Diode Zener|2
5|18V|Bidirectional Zener Diode|D2, D3|SOD123F|Diode Zener Bidirectional|2
6|Diode_SOD523|Diode|D4_U_relay1, D4_U_relay2, D4_U_relay3, D4_U_relay4, D4_U_relay5, D4_U_relay6, D4_U_relay7, D5, D6|SOD123F|Diode_SOD523|9
7|||D7, D8, D9, D10|LED3MM|LED3MM|4
8|691321100003|WR-TBL Terminal block - serie 3211 - 3.50 mm|J1|691321100003|691321100003|1
9|691321100002|WR-TBL Terminal block - serie 3211 - 3.50 mm|J2_U_external_ps_en1, J2_U_external_ps_en2, J3, J4, J5, J6_U_relay1, J6_U_relay2, J6_U_relay3, J6_U_relay4, J6_U_relay5, J6_U_relay6, J6_U_relay7, J8|691321100002|691321100002|13
10|691321100005|WR-TBL Terminal block - serie 3211 - 3.50 mm|J7_U_servo1, J7_U_servo2, J7_U_servo3|691321100005|691321100005|3
11|Ind_0603|Inductor|L1|IND_0603|Ind_0603|1
12|128*96 OLED||P1|Adafruit OLED 1.3|Adafruit Monochrome OLED 1.3|1
13|INFINEON DUAL MOSFET P-CH SO-8||Q1, Q2|INFINEON SO-8|INFINEON DUAL MOSFET P-CH SO-8|2
